stt,course_id,name_vi,name_en,is_open,managed_by,course_type,old_code,equivalent_ids,prerequisite_ids,prior_ids,credits_lt,credits_th
758,MSIS5723,Phân tích thiết kế hệ thống thông tin,Information Systems Analysis and Design,,HTTT,CN,,,,IT004,3,1
759,NHJP1,Tiếng Nhật Sơ cấp 1,Japanese for Beginners 1,,PĐTĐH,BT,,,,,0,0
760,NHJP2,Tiếng Nhật Sơ cấp 2,Japanese for Beginners 2,,PĐTĐH,BT,,,,,0,0
761,NNH050,Ngôn ngữ quảng cáo,The Language of Advertising,,PĐTĐH,CN,,,,,2,0
762,NT005,Giới thiệu ngành Mạng máy tính và Truyền thông dữ liệu,Introduction to Computer Networks and Data Communication,,MMT&TT,ĐC,,CS005IE005IS005SE005CE005NT015EC005DS005AI001,,,1,0
763,NT008,Mạng truyền thông và di động,Mạng truyền thông và di động,,,,,,,,4,0
764,NT009,Lập trình ứng dụng Mạng,Lập trình ứng dụng Mạng,,,,,,,,4,0
765,NT015,Giới thiệu ngành An toàn Thông tin,Introduction to Information Security Programs,,MMT&TT,ĐC,,CS005IE005IS005SE005CE005NT005EC005DS005AI001,,,1,0
766,NT101,An toàn mạng máy tính,Network Security,,MMT&TT,CSN,,NT140,,IT005,3,1
767,NT102,Điện tử cho công nghệ thông tin,Electronics for information technology,,MMT&TT,CSN,,PH002,,,3,1
768,NT103,Hệ điều hành Linux,Linux Operating Systems,,MMT&TT,CNTC,NT309,NT131,,,3,1
769,NT104,Lý thuyết thông tin,Information Theory,,MMT&TT,CSN,,,,IT001,3,0
770,NT105,Truyền dữ liệu,Data Communications,,MMT&TT,CSN,,,,IT005,3,1
771,NT106,Lập trình mạng căn bản,Basic Network Programming,,MMT&TT,CSN,,,,IT005IT001,2,1
772,NT107,Xử lý tín hiệu trong truyển thông,Signal Processing for Communications,,MMT&TT,CN,,NT332,,,3,1
773,NT108,Mạng truyền thông và di động,Communication and mobile networks,,MMT&TT,CN,,NT132,,,3,0
774,NT109,Lập trình ứng dụng mạng,Network-Based Application Development,,MMT&TT,CSN,,,,IT004NT106,2,1
775,NT110,Tín hiệu và mạch,Signals and circuits,,MMT&TT,CN,,PH001,,IT002,3,0
776,NT111,Thiết bị mạng và truyền thông ĐPT,Network appliances and multimedia communications,,MMT&TT,CNTC,,,,IT005,3,1
777,NT112,Công nghệ mạng viễn thông,Communications technology,,MMT&TT,CN,,NT402,,IT005,2,1
778,NT113,Thiết kế mạng,Network Design,,MMT&TT,CSN,,,,NT132,2,1
779,NT114,Đồ án chuyên ngành,Specialized Project,,MMT&TT,ĐA,,,,,0,2
780,NT115,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,NT215,,,3,0
781,NT116,Kỹ năng mềm,Soft skills,,MMT&TT,CN,,SS004,,,0,2
782,NT117,Đồ án môn học lập trình ứng dụng mạng,Network-Based Application Programming Project,,MMT&TT,ĐA,NT202,,,,0,2
783,NT118,Phát triển ứng dụng trên thiết bị di động,Mobile Application Development,,MMT&TT,CSN,NT305,,,IT002,2,1
784,NT119,Mật mã học,Cryptography,,MMT&TT,CSN,,NT219,,MA001MA002,3,1
785,NT121,Thiết bị mạng và truyền thông đa phương tiện,Network Appliances and Multimedia Communications,,MMT&TT,CĐTN,,NT111,,,2,1
786,NT130,Cơ chế hoạt động của mã độc,Malware modus operandi,,MMT&TT,CSN,,NT230,,IT007NT101,3,1
787,NT131,Hệ thống nhúng mạng không dây,Wireless Embedded Network Systems,,MMT&TT,CSN,,,,IT007,3,1
788,NT132,Quản trị mạng và hệ thống,Networks and Systems Administration,,MMT&TT,CSN,,,,IT005,3,1
789,NT133,An toàn kiến trúc hệ thống,Systems Architecture Security,,MMT&TT,CN,,,,IT006IT007,2,1
790,NT137,Kỹ thuật phân tích mã độc,Malware Analysis Techniques,,MMT&TT,CN,,,,,2,1
791,NT140,An toàn mạng,Network Security,,MMT&TT,CN,,,,IT005,3,1
792,NT201,Phân tích thiết kế hệ thống truyền thông và mạng,Communication and Network Systems Analysis and Design,,MMT&TT,CNTC,,NT532,,,3,0
793,NT202,Đồ án môn Lập trình ứng dụng mạng,Project on Nerwork-Application Programming,,MMT&TT,ĐA,,NT117,,,0,2
794,NT203,Đồ án chuyên ngành,Specialized Project,,MMT&TT,ĐA,,NT114,,,0,2
795,NT204,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",Intrusion Detection and Prevention Systems,,MMT&TT,CN,NT321,,,,2,1
796,NT205,Tấn công mạng,Network Offences,,MMT&TT,CNTC,,,,NT101,2,1
797,NT206,Quản trị hệ thống mạng,Computer network administration,,MMT&TT,CN,"NT301,NT006",NT531,,IT005,2,1
798,NT207,Quản lý rủi ro và an toàn thông tin trong doanh nghiệp,Risk Management and Information Security in Enterprise,,MMT&TT,CN,,,,NT101,2,1
799,NT208,Lập trình ứng dụng web,Web-Based Application Development,,MMT&TT,CNTC,,NT507NT307NT533,,IT002IT004,2,1
800,NT209,Lập trình hệ thống,Computer System Programming,,MMT&TT,CSN,,,,IT006IT001,2,1
801,NT210,Thương mại điện tử và triển khai ứng dụng,E-Commerce and Applications,,MMT&TT,CĐTN,NT502,,,IT005NT106,2,1
802,NT211,"An ninh nhân sự, định danh và chứng thực","Personnel Security, Identification, and Authentication",,MMT&TT,CNTC,,,,,2,1
803,NT212,"An toàn dữ liệu, khôi phục thông tin sau sự cố",Data Integrity and Disaster Recovery,,MMT&TT,CNTC,,,,IT003IT006IT007,2,1
804,NT213,Bảo mật web và ứng dụng,Web and Application Security,,MMT&TT,CN,,,,NT208,2,1
805,NT215,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,,,,2,0
806,NT216,Bảo mật hệ thống dữ liệu,Data System Security,,MMT&TT,CNTC,,,,,2,1
807,NT219,Mật mã học,Cryptography,,MMT&TT,CN,,NT119,,,2,1
808,NT230,Cơ chế hoạt động của mã độc,Malware: Modes of Operation,,MMT&TT,CSN,,NT130,,NT209,2,1
809,NT301,Quản trị hệ thống mạng,Computer network administration,,MMT&TT,CN,,NT206NT531,,,2,1
810,NT302,Xây dựng chuẩn chính sách an toàn thông tin trong doanh nghiệp,Enterprise information security policy,,MMT&TT,CN,,NT331,,,2,1
811,NT303,Công nghệ thoại IP,VoIP Phone Technology,,MMT&TT,CN,,NT536,,NT105,2,1
812,NT304,Ứng dụng truyền thông và an ninh thông tin,Applications of communications and information security,,MMT&TT,CN,,,,,2,1
813,NT305,Phát triển ứng dụng trên  thiết bị di động,Mobile Application Development,,MMT&TT,CN,,NT118,,,2,1
814,NT306,Kỹ thuật lập trình mạng trên Linux,Network programming techniques on Linux,,MMT&TT,CN,,,,,3,0
815,NT307,Xây dựng ứng dụng web,Web application development,,MMT&TT,CN,,NT208NT533,,,2,1
816,NT309,Lập trình trên Linux,Programming on Linux,,MMT&TT,CN,,,,,2,1
817,NT310,Pháp chứng mạng di động,Digital Forensics,,MMT&TT,CNTC,,,,NT101,2,1
818,NT311,Công nghệ tường lửa và bảo vệ mạng ngoại vi,Firewall Technology and Perimeter Protection,,MMT&TT,CNTC,,,,NT101,2,1
819,NT312,Bảo mật với smartcard và NFC,Smart Card and NFC Security,,MMT&TT,CNTC,,,,NT101,2,1
820,NT320,Công nghệ vệ tinh,Satelite technology,,MMT&TT,CN,,,,,3,0
821,NT321,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",Intrusion Detection and Prevention System,,MMT&TT,CN,,NT204,,,2,1
822,NT330,An toàn mạng không dây và di động,Wireless Network and Mobile Security,,MMT&TT,CN,,NT108,,NT101,2,1
823,NT331,Xây dựng chuẩn chính sách an toàn thông tin trong doanh nghiệp,Building Enterprise Information Security Policies,,MMT&TT,CN,NT302,,,IT005NT101,2,1
824,NT332,Xử lý tín hiệu trong truyền thông,Signal Processing in Communications,,MMT&TT,CĐTN,NT107,,,IT005,3,1
825,NT333,Tính toán lưới,Grid Computing,,MMT&TT,CNTC,NT403,,,IT005NT106,2,1
826,NT334,Pháp chứng kỹ thuật số,Digital Forensics,,MMT&TT,CN,,,,,2,1
827,NT395,Phát triển ứng dụng trên thiết bị di động,Mobile application development,,MMT&TT,CN,,,,,2,1
828,NT400,An toàn mạng nâng cao,An toàn mạng nâng cao,,,,,,,,4,0
829,NT401,An toàn mạng nâng cao,Advanced network security,,MMT&TT,CN,,,,,2,1
830,NT402,Công nghệ mạng viễn thông,Telecommunications Technology,,MMT&TT,CN,NT112,NT404,,NT105,2,1
831,NT403,Tính toán lưới,Net Computing,,MMT&TT,CN,,NT333,,,2,1
832,NT404,Khóa luận tốt nghiệp,Thesis,,MMT&TT,KLTN,,,,,10,0
833,NT405,Bảo mật Internet,Internet Security,,MMT&TT,CĐTN,NT503,,,NT101IT005,2,1
834,NT406,Đồ án tốt nghiệp,Graduation Project,,MMT&TT,CĐTN,NT504,,,,4,0
835,NT407,Pháp chứng kỹ thuật số,Digital Forensics,,MMT&TT,CN,,NT334,,,2,1
836,NT408,Bảo mật trên Internet,Cyber security,,MMT&TT,CN,,,,,3,1
837,NT501,Thực tập doanh nghiệp,Internship,,MMT&TT,TTTN,,NT115,,,3,0
838,NT502,Thương mại Điện tử và Triển khai ứng dụng,E-commerce and applications,,MMT&TT,CĐTN,,NT210,,IT005NT101NT109,2,1
839,NT503,Bảo mật Internet,Cyber security,,MMT&TT,CĐTN,,NT405,,IT005NT101,2,1
840,NT504,Tiểu luận tốt nghiệp,Graduation Project,,MMT&TT,CĐTN,NT406,NT406,,NT114NT117,4,0
841,NT505,Khóa luận tốt nghiệp,Thesis,,MMT&TT,KLTN,,,,,10,0
842,NT506,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,,MMT,TN,,,,,10,0
843,NT507,Xây dựng ứng dụng web,Web application development,,MMT&TT,CĐTN,,NT208,,,2,1
844,NT508,Đồ án tốt nghiệp,Capstone Project,,MMT,TN,,,,,6,0
845,NT509,Hệ thống đa tác tử di động thông minh,Intelligent mobile multi-agent systems,,MMT&TT,CĐTN,,,,,2,1
846,NT521,Lập trình an toàn và khai thác lỗ hổng phần mềm,Secure Programming and Exploiting Vulnerabilities,,MMT&TT,CNTC,,,,IT002NT209,3,1
847,NT522,Phương pháp học máy trong an toàn thông tin,Machine Learning for Information Security,,MMT&TT,CNTC,,,,,2,1
848,NT523,An toàn thông tin trong kỷ nguyên máy tính lượng tử,Cybersecurity in the Quantum Era,,MMT&TT,CNTC,,,,MA003,2,1
849,NT524,Kiến trúc và bảo mật điện toán đám mây,Cloud Architecture and Security,,MMT&TT,CN,,,,IT005,3,1
850,NT531,Đánh giá hiệu năng hệ thống mạng máy tính,Modeling and Performance Evaluation of Network and Computer Systems,,MMT&TT,CN,,,,NT132,2,1
851,NT532,Công nghệ Internet of things hiện đại,Advanced Internet of Things Technologies,,MMT&TT,CNTC,,,,,2,1
852,NT533,Hệ tính toán phân bố,Distributed Computing Systems,,MMT&TT,CN,,,,IT005,2,1
853,NT534,An toàn mạng máy tính nâng cao,Advanced Network Security,,MMT&TT,CSN,,,,NT101,2,1
854,NT535,Bảo mật Internet of things,Security and Privacy in Internet of Things,,MMT&TT,CNTC,,,,NT101,2,1
855,NT536,Công nghệ truyền thông đa phương tiện,Multimedia Communication Technologies,,MMT&TT,CN,,,,,2,1
856,NT537,Truyền thông xã hội và kinh doanh,Social Media and Business Practices,,MMT&TT,CN,,,,,3,0
857,NT538,Giải thuật xử lý song song và phân bố,Algorithms in Parallel and Distributed Computing,,MMT&TT,CN,,,,IT005,2,1
858,NT539,AI ứng dụng trong mạng và truyền thông,Artificial Intelligence for Networking and Communications,,MMT&TT,TN,,,,IT005,3,1
859,NT540,Mạng không dây thế hệ mới,Next-Generation Wireless Networks,,MMT&TT,CN,,,,NT105,2,1
860,NT541,Công nghệ mạng khả lập trình,Reprogramming Network Technologies,,MMT&TT,CN,,,,,3,1
861,NT542,Lập trình kịch bản tự động hóa cho quản trị và bảo mật mạng,Scripting for Automation in Administration and Security,,MMT&TT,CN,,,,NT132,2,1
862,NT543,Tín hiệu và hệ thống thông tin,Signals and Communication Systems,,MMT&TT,CN,,,,NT105,2,1
863,NT544,Ăng ten và truyền thông vô tuyến,Antenna and Telecommunications,,MMT&TT,CN,,,,NT105,3,1
864,NT545,Thiết kế hệ thống viễn thông,Fundamental Techniques in Telecommunication System Design,,MMT&TT,CN,,,,NT402,2,1
865,NT546,Thiết kế và triển khai mạng tốc độ cao,Design and Implementation of High-Speed Networks,,MMT&TT,CN,,,,NT113,2,1
866,NT547,"Blockchain: Nền tảng, ứng dụng và bảo mật","Blockchain: Fundamentals, Applications and Security",,MMT&TT,CN,,,,,2,1
867,NT548,Công nghệ DevOps và ứng dụng,DevOps Technology and Its Applications,,MMT&TT,CĐTN,,,,IT005,3,1
868,NT549,Học máy tăng cường cho các hệ thống mạng,Reinforcement Learning for Networked Systems,,MMT&TT,CN,,,,IT005IT002,3,1
869,OOPT1,Lập trình hướng đối tượng,Object-Oriented Programming,,CNPM,ĐC,,IT002,,,3,1
870,OOPT2,Lập trình hướng đối tượng,Object-oriented programming,,CNPM,CSNN,,,,,4,1
871,OSYS1,Hệ điều hành,Operating Systems,,MMT&TT,ĐC,,IT007,,,3,0
872,OSYS2,Hệ điều hành,Operating systems,,MMT&TT,ĐC,,IT007,,,3,0
873,OSYS3,Hệ điều hành,Hệ điều hành,,,,,,,,4,0
874,PE001,Giáo dục thể chất 1,Physical education 1,,PĐTĐH,TC,PEDU1,PE012,,,0,0
875,PE002,Giáo dục thể chất 2,Physical education 2,,PĐTĐH,TC,PEDU2,PE012,,,0,0
876,PE003,Giáo dục thể chất 3,Physical education 3,,TTNN,TC,,,,,0,0
877,PE012,Giáo dục thể chất,Physical education,,PĐTĐH,TC,,PE231PE232,,,0,0
878,PE231,Giáo dục thể chất 1,Physical Education 1,,PĐTĐH,TC,,,,,0,0
879,PE232,Giáo dục thể chất 2,Physical Education 2,,PĐTĐH,TC,,,,PE231,0,0
880,PEDU1,Giáo dục thể chất 1,Physical Education 1,,GDTC,TC,,PE001,,,0,0
881,PEDU2,Giáo dục thể chất 2,Physical Education 2,,PĐTĐH,TC,,PE002,,,0,0
882,PH001,Nhập môn điện tử,Introduction to Electrical Engineering,,BMTL,ĐC,,,,,3,0
883,PH002,Nhập môn mạch số,Introduction to Digital Circuits,,KTMT,ĐC,,CE102NT102,,,3,1
884,PH003,Vật lý kỹ thuật,Technical physics,,BMTL,ĐC,,PHY02PH002,,,4,0
885,PHIL1,Những NLCB của chủ nghĩa Mác-Lênin,Fundamental Principles of Marxism-Leninism,,BMAV,ĐC,,SS001,,,5,0
886,PHIL2,Triết học Mác-Lênin,Marxist-Leninist philosophy,,P.ĐTĐH,ĐC,,,,,5,0
887,PHY01,Vật lý đại cương A1,General physics A1,,BMTL,ĐC,,PH001,,,3,0
888,PHY02,Vật lý đại cương A2,General physics A2,,BMTL,ĐC,,PH002,,,3,0
889,PHY03,Vật lý đại cương A3,General physics A3,,BMTL,ĐC,,,,,2,0
890,PHY11,General Physics 1,General Physics 1,,BMTL,ĐC,,,,,4,0
891,PHY12,General Physics 2,General Physics 2,,BMTL,ĐC,,,,,4,0
892,PHY22,Vật lý đại cương A2 (TE1),General physics A2,,BMTL,ĐC,,,,,4,0
893,PHYS1114,Vật lý đại cương 1,General Physics 1,,HTTT,ĐC,,PHYS1215,,,4,0
894,PHYS1214,Vật lý đại cương 2,General Physics 2,,HTTT,ĐC,PHY12,PHYS1215,,PHYS1114,4,0
895,PHYS1215,Vật lý đại cương,General Physics,,HTTT,ĐC,,,,,3,0
896,QTE111,Văn hóa giao tiếp,Intercultural Communication,,PĐTĐH,CN,,,,,2,0
897,SC203,Phương pháp nghiên cứu khoa học,Scientific Research Methodology,,HTTT,CNTC,,,,,3,0
898,SE005,Giới thiệu ngành Kỹ thuật Phần mềm,Introduction to Software Engineering,,CNPM,ĐC,,CS005IE005IS005CE005NT005NT015EC005DS005AI001,,,1,0
899,SE100,Phương pháp phát triển phần mềm hướng đối tượng,Object-Oriented Software Development Methodology,,CNPM,CSN,,,,SE104IT008,3,1
900,SE101,Phương pháp mô hình hóa,Modeling Methods,,CNPM,CSN,,,,IT001IT002IT003,3,0
901,SE102,Nhập môn phát triển game,Introduction to Game Development,,CNPM,CSN,,,,IT001,2,1
902,SE103,Các phương pháp lập trình,Programming Paradigms,,CNPM,CN,,SE334,,,2,1
903,SE104,Nhập môn Công nghệ phần mềm,Introduction to Software Engineering,,CNPM,CSN,,,,IT002IT004,3,1
904,SE105,Lập trình nhúng căn bản,Embedded-system Programming,,CNPM,CN,,CE211,,,2,1
905,SE106,Đặc tả hình thức,Formal Specification,,CNPM,CSN,,,,IT001IT003SE104IT002,4,0
906,SE107,Phân tích thiết kế hệ thống,System analysis and design,,CNPM,CN,SE207,IS201,,IT002IT004SE104,3,1
907,SE108,Kiểm chứng phần mềm,Software testing,,CNPM,CSN,,SE113,,IT001SE104,2,1
908,SE109,"Phát triển, vận hành, bảo trì phần mềm","Software Development, Deployment and Maintenance",,CNPM,CSN,SE209,,,SE104,3,0
909,SE110,Phương pháp Phát triển phần mềm hướng đối tượng,Phương pháp Phát triển phần mềm hướng đối tượng,,CNPM,CN,,,,,3,1
910,SE111,Đồ án mã nguồn mở,Open Source Project,,CNPM,CSN,SE417,SE121,,IT001IT002IT003IT004SE104,2,0
911,SE112,Đồ án chuyên ngành,Specialized Project,,CNPM,CSN,SE418,SE122,,IT002IT003IT004SE104,2,0
912,SE113,Kiểm chứng phần mềm,Software Testing,,CNPM,CNTC,,,,SE104,3,1
913,SE114,Nhập môn ứng dụng di động,Mobile Application Overview,,CNPM,CSN,,,,IT001IT002,2,1
914,SE115,Phát triển game với Unity,Game Development with Unity,,CNPM,CSN,,,,IT001IT002,2,1
915,SE116,Phát triển kỹ năng lập trình game ứng dụng trong thực tế,Skill Development in Game Programming for Real Projects,,CNPM,CSN,,,,,3,1
916,SE117,Kỹ thuật lập trình,Programming Techniques,,CNPM,CN,,,,IT001,3,1
917,SE121,Đồ án 1,Project 1,,CNPM,CSN,,,,SE104,2,0
918,SE122,Đồ án 2,Project 2,,CNPM,CSN,,,,SE121,2,0
919,SE207,Phân tích thiết kế hệ thống,System Analysis and Design,,CNPM,CN,,SE107,,,3,1
920,SE208,Kiểm chứng phần mềm,Software Testing,,CNPM,CN,,SE108,,,2,1
921,SE209,"Phát triển, vận hành, bảo trì phần mềm","Software Development, Deployment and Maintenance",,CNPM,CN,,SE109,,,3,0
922,SE210,Quản lý dự án công nghệ thông tin,Information-Technology Project Management,,CNPM,CN,,IS208,,,3,1
923,SE211,Phát triển phần mềm hướng đối tượng,Object-oriented Software Development Methodology,,CNPM,CN,,SE100,,,3,1
924,SE212,Phát triển phần mềm mã nguồn mở,Open-source Software Development,,CNPM,CN,,SE331,,,2,1
925,SE213,Xử lý phân bố,Distributed Computing,,CNPM,CN,,SE339,,,2,1
926,SE214,Công nghệ phần mềm chuyên sâu,Advanced Software Engineering,,CNPM,CN,,,,SE104IT001IT003,3,1
927,SE215,Giao tiếp người máy,Human-Computer Interaction,,CNPM,CN,,,,SE104,3,1
928,SE220,Thiết kế game,Game Design,,CNPM,CN,SE323,,,,3,0
929,SE221,Lập trình game nâng cao,Advanced Game Programming,,CNPM,CN,,,,SE102,3,1
930,SE301,Phát triển phần mềm mã nguồn mở,Open Source Software Development,,CNPM,CN,SE212,,,IT003IT004IT002SE104SE109IT001,3,0
931,SE310,Công nghệ .NET,.NET Technology,,CNPM,CNTC,SE312,,,IT008,3,1
932,SE311,Ngôn ngữ lập trình Java,Java Programming Language,,CNPM,CN,,SE330,,,3,1
933,SE312,Công nghệ .NET,.Net Technology,,CNPM,CN,,SE310,,IT004SE104SE347,3,1
934,SE313,Một số thuật toán thông minh,Intelligent Algorithms,,CNPM,CNTC,SE337,,,IT002IT003IT001,2,0
935,SE314,Công nghệ game 3D,3D Game Technology,,CNPM,CN,,,,,2,1
936,SE315,Công nghệ game online,Technology for Online Game Development,,CNPM,CN,,,,IT002IT004,3,1
937,SE316,Phát triển game đa nền tảng,Cross-Platform Game Development,,CNPM,CN,,,,SE115,2,1
938,SE317,Công nghệ tiên tiến trong phát triển game,Advanced Technologies in Game Development,,CNPM,CN,,,,,2,1
939,SE320,Lập trình đồ họa 3 chiều với Direct3D,3D Programming with Direct3D,,CNPM,CNTC,,,,SE102,3,1
940,SE321,Lập trình trên thiết bị di động,Mobile Device Application Development,,CNPM,CN,,SE346,,,4,0
941,SE322,Công nghệ Web và ứng dụng,Web Technology and Applications,,CNPM,CN,,SE341,,,2,0
942,SE323,Thiết kế Game,Introduction to game design,,CNPM,CN,,SE220,,,4,0
943,SE324,Nhập môn lập trình 3D game,3D game engine design,,CNPM,CN,,,,,3,1
944,SE325,Chuyên đề J2EE,J2EE,,CNPM,CNTC,,,,IT002IT003IT004,3,1
945,SE326,Cơ sở dữ liệu nâng cao,Advanced Databases,,CNPM,CN,,IS337,,,2,0
946,SE327,Phát triển và vận hành game,Game Development and Operations,,CNPM,CNTC,,,,SE102,3,0
947,SE328,Lập trình trí tuệ nhân tạo trong game,Artificial Intelligent in Game Development,,CNPM,CNTC,SE334,,,IT002IT003SE102,3,1
948,SE329,Thiết kế 3D Game Engine,3D Game Engine Design,,CNPM,CNTC,,,,SE102,3,1
949,SE330,Ngôn ngữ lập trình Java,Java Programming Language,,CNPM,CSN,SE311,,,IT001IT002,3,1
950,SE331,Chuyên đề E-commerce,E-Commerce,,CNPM,CNTC,SE331,,,IT004SE104,2,0
951,SE332,Chuyên đề cơ sở dữ liệu nâng cao,Advanced Database,,CNPM,CN,SE326,,,IT004,2,0
952,SE333,Chuyên đề E-Government,E-Government,,CNPM,CN,,SE404,,,2,0
953,SE334,Các phương pháp lập trình,Programming Paradigms,,CNPM,CN,SE103,,,IT001,2,1
954,SE335,Công nghệ XML và ứng dụng,XML technology and applications,,CNPM,CN,,,,,3,1
955,SE336,Phương pháp luận sáng tạo KH-CN,Scientific methodology and innovation,,CNPM,CN,,CS519,,,2,0
956,SE337,Các thuật toán thông minh,Intelligent Algorithms,,CNPM,CN,,SE313,,,1,0
957,SE338,Logic mờ,Fuzzy logic,,CNPM,CN,SE342,CS405,,,2,0
958,SE339,Xử lý phân bổ,Distributed computing,,CNPM,CN,,,,,2,1
959,SE340,Quản lý dự án công nghệ thông tin,Information-technology project management,,CNPM,CN,SE210,IS208,,IT001,3,1
960,SE341,Công nghệ Web và ứng dụng,Web technology and applications,,CNPM,CN,,,,IT001IT002IT004,2,0
961,SE342,Logic mờ,Fuzzy logic,,CNPM,CN,,,,,2,0
962,SE343,Công nghệ Portal,Portal Technology,,CNPM,CNTC,SE343,,,SE347,3,0
963,SE344,Lập trình game trong các thiết bị di động,Mobile Game Programming,,CNPM,CNTC,SE344,,,IT001SE346,3,1
964,SE345,Kỹ thuật lập trình nhúng,Embedded programming techniques,,CNPM,CN,,,,,3,1
965,SE346,Lập trình trên thiết bị di động,Mobile Device Application Development,,CNPM,CN,,,,IT001IT008,3,1
966,SE347,Công nghệ web và ứng dụng,Web Technologies and Applications,,CNPM,CNTC,,SE341,,IT001IT002IT004,3,1
967,SE348,Chuyên đề M-commerce,M-Commerce,,CNPM,ĐC,,,,SE331,2,0
968,SE349,Nhập môn Quản trị doanh nghiệp,Introduction to business administration,,CNPM,CN,ITEM1,IE202,,,2,0
969,SE350,Chuyên đề E-learning,E-Learning,,CNPM,ĐC,,,,,2,0
970,SE351,Xử lý song song,Parallel Processing,,CNPM,CN,,,,IT001IT002IT003,3,1
971,SE352,Phát triển ứng dụng VR,VR App Development,,CNPM,CNTC,,,,SE102,2,1
972,SE354,Chuyên đề các quy trình phát triển phần mềm hiện đại,Special Topics in Modern Software Development Processes,,CNPM,CNTC,,,,,2,1
973,SE355,Máy học và các công cụ,Machine Learning and Tools,,CNPM,CN,,,,IT003,2,1
974,SE356,Kiến trúc phần mềm,Software Architecture,,CNPM,CNTC,,,,SE104SE100,3,1
975,SE357,Kỹ thuật phân tích yêu cầu,Requirements Engineering,,CNPM,CNTC,,,,SE104,2,1
976,SE358,Quản lý dự án phát triển phần mềm,Software Development Project Management,,CNPM,CN,,,,SE104,3,1
977,SE359,DevOps trong phát triển phần mềm,DevOps in Software Developing,,CNPM,CSN,,,,,2,1
978,SE360,Điện toán đám mây và phát triển ứng dụng hướng dịch vụ,Cloud Computing and Building Cloud-Native Applications,,CNPM,CSN,,,,,3,1
979,SE361,Phát triển phần mềm theo kiến trúc Microservices,Microservices Software Development,,CNPM,CSN,,,,IT002IT004,3,1
980,SE362,An toàn phần mềm và hệ thống,Software and Systems Security,,CNPM,CN,,,,,3,1
981,SE363,Phát triển ứng dụng trên nền tảng dữ liệu lớn,Application Development on Big Data Platforms,,CNPM,CN,,,,,3,1
982,SE364,Thiết kế giao diện và trải nghiệm người dùng,UI/UX Design,,CNPM,CN,,,,IT001,3,1
983,SE365,Học sâu ứng dụng trong phát triển phần mềm,Applied Deep Learning in Software Engineering,,CNPM,CN,,,,,3,1
984,SE400,Seminar các vấn đề hiện đại của công nghệ phần mềm,Seminar on Modern Software Engineering,,CNPM,CĐTN,,,,SE100SE104,4,0
985,SE401,Mẫu thiết kế,Design Patterns,,CNPM,CĐTN,,,,SE100,3,0
986,SE402,Điện toán đám mây,Cloud computing,,CNPM,CĐTN,,IS402,,IT005IT008,2,0
987,SE403,Nguyên lý thiết kế thế giới ảo,Virtual World Design,,CNPM,CĐTN,,,,,4,0
988,SE404,Chuyên đề E-Government,E-Government,,CNPM,CĐTN,SE333,,,,2,0
989,SE405,Chuyên đề mobile and pervasive computing,Mobile Pervasive Computing,,CNPM,CĐTN,,,,SE114,3,0
990,SE406,Mẫu thiết kế hướng đối tượng,Object-Oriented Design Patterns,,CNPM,CĐTN,,,,SE100,4,0
991,SE407,Chuyên đề pervasive and mobile computing,Pervasive Mobile Computing,,CNPM,CĐTN,,,,SE114,4,0
992,SE408,Phát triển game với blockchain,Blockchain-Based Game Development,,CNPM,CĐTN,,,,,3,1
993,SE409,Phát triển dự án game,Game Project Development,,CNPM,CN,,,,,3,1
994,SE417,Đồ án môn học mã nguồn mở,Open Source Project,,CNPM,ĐA,,SE111,,,2,0
995,SE418,Đồ án môn học chuyên ngành,Specialized Project,,CNPM,ĐA,,SE112,,,3,0
996,SE501,Thực tập tốt nghiệp,Internship,,CNPM,TTTN,,,,,2,0
997,SE502,Thực tập,Internship,,CNPM,TTTN,,,,,2,0
998,SE503,Đồ án,Major Project,,CNPM,CN,,,,,2,0
999,SE505,Khóa luận tốt nghiệp,Thesis,,CNPM,KLTN,,,,SE122,10,0
1000,SE506,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,,CNPM,KLTN,,,,SE122,10,0
1001,SE507,Đồ án tốt nghiệp,Capstone Project,,CNPM,ĐA,,,,SE122,6,0
1002,SMET1,Phương pháp NCKH trong tin học,Scientific Research Methodology in Informatics,,PĐTĐH,ĐC,SMET1,CS519SS005,,,2,0
1003,SMET2,Phương pháp luận sáng tạo KH-CN,Scientific Method and Innovation,,PĐTĐH,ĐC,SMET2,CS519SS005,,,2,0
1004,SOCI1,Chủ nghĩa xã hội khoa học,Scientific socialism,,P.ĐTĐH,ĐC,,,,,3,0
1005,SP3724,Kỹ năng giao tiếp,Communication Skills,,HTTT,ĐC,,,,,3,0
1006,SPCH2713,Kỹ năng giao tiếp,Introduction to Speech Communication,,HTTT,ĐC,,,,,2,0
1007,SPCH3723,Tiếng Anh chuyên ngành công nghệ thông tin,English for Computer Science,,HTTT,ĐC,,,,,3,0
1008,SPCH3724,Kỹ năng giao tiếp,Communication skills,,HTTT,ĐC,SP3724,SPCH2713,,,3,0
