stt,course_id,name_vi,name_en,is_open,managed_by,course_type,old_code,equivalent_ids,prerequisite_ids,prior_ids,credits_lt,credits_th
566,IS211,Cơ sở dữ liệu phân tán,Distributed Databases,,HTTT,CN,IS104,IE103,,IT004IT005,3,1
567,IS212,Thực tập tốt nghiệp,Internship,,HTTT,TTTN,,,,,3,0
568,IS213,Đồ án xây dựng một hệ thống thông tin,Information system development,,HTTT,ĐA,,,,,3,0
569,IS214,Thiết kế cơ sở dữ liệu,Database design,,HTTT,CN,,,,,3,1
570,IS215,Thiết kế hướng đối tượng với UML,Object-Oriented Analysis and Design with UML,,HTTT,CSN,,,,IT002IT004,3,1
571,IS216,Lập trình Java,Programming with Java,,HTTT,CSN,,,,IT004,3,1
572,IS217,Kho dữ liệu và OLAP,Data Warehouse and OLAP,,HTTT,CN,IS304,IS304,,IT004,3,0
573,IS218,Kỹ năng tư vấn,Kỹ năng tư vấn,,HTTT,CNTC,,,,,2,0
574,IS219,Pháp luật trong Thương mại điện tử,Pháp luật trong Thương mại điện tử,,HTTT,CNTC,,,,,3,0
575,IS220,Xây dựng hệ thống thông tin trên các framework,Information Systems Development with Frameworks,,HTTT,CN,,,,,3,1
576,IS225,Khai thác dữ liệu và ứng dụng,Data mining and applications,,,CN,,,,,4,0
577,IS232,Hệ thống thông tin kế toán,Accounting Information Systems,,HTTT,CN,IS107,,,IS336,4,0
578,IS251,Nhập môn hệ thống thông tin địa lý,Introduction to Geographic Information Systems,,HTTT,CN,IS204,IS204,,IT004,3,1
579,IS252,Khai thác dữ liệu,Data Mining,,HTTT,CN,IS106,,,MA005IT004,3,1
580,IS253,Lập trình ứng dụng trên thiết bị di động,Mobile application programming,,HTTT,CN,,NT118,,IT002,2,1
581,IS254,Hệ hỗ trợ quyết định,Decision Support Systems,,HTTT,CN,,,,,3,0
582,IS301,Thương mại điện tử,E-commerce,,HTTT,CN,,IS334,,,3,0
583,IS302,Phân tích không gian,Spatial analysis,,HTTT,CN,,IS351,,,3,1
584,IS303,Hệ cơ sở dữ liệu không gian,Spatial Database Systems,,HTTT,CN,,IS352,,,3,1
585,IS3033,Quản lý dự án hệ thống thông tin,IS-Project Management,,HTTT,CN,,,,,4,0
586,IS304,Kho dữ liệu và OLAP,Data warehouse and OLAP,,HTTT,CN,,IS404IS217,,,3,1
587,IS305,An toàn và bảo mật HTTT,Information systems security & protection,,HTTT,CN,,IS335,,,3,0
588,IS306,Hệ thống thông tin quản lý,Accounting information systems,,HTTT,CN,,IS332,,,3,0
589,IS311,Đồ án hệ thống thông tin,Information Systems Project,,HTTT,ĐA,IS213,IS213,,,3,0
590,IS3303,Phân tích thiết kế hệ thống,System Analysis and Design,,HTTT,CN,,,,,4,0
591,IS332,Hệ thống thông tin quản lý,Management Information Systems,,HTTT,CN,,,,IS201,3,0
592,IS334,Thương mại điện tử,E-Commerce,,HTTT,CN,IS301,,,,3,0
593,IS335,An toàn và bảo mật hệ thống thông tin,Information Systems Security,,HTTT,CN,IS305,,,IT005IT004,3,0
594,IS336,Hoạch định nguồn lực doanh nghiệp,Enterprise Resource Planning,,HTTT,CSN,,,,,3,1
595,IS337,Cơ sở dữ liệu nâng cao,Advanced databases,,HTTT,CN,,,,,3,1
596,IS338,Dự báo kinh doanh,Markets analysis,,HTTT,CN,IS306,,,IS336,3,0
597,IS339,Sinh tin học,Bioinformatics,,HTTT,CNTC,,,,,3,0
598,IS340,Thị trường chứng khoán,Stock Market,,HTTT,CNTC,,,,,3,0
599,IS341,Khởi nghiệp,Entrepreneurship,,HTTT,CNTC,,,,,3,0
600,IS342,Chính phủ điện tử,E-Government,,HTTT,CNTC,,,,,3,0
601,IS343,Luật CNTT,Luật CNTT,,HTTT,CNTC,,,,,3,0
602,IS344,Quản trị nguồn lực y tế,Healthcare Resource Management,,HTTT,CN,,,,,2,1
