file,label,url,status
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/108-qd-dhcntt15-3-2019_sua_doi_bo_sung_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_.pdf,108-qd-dhcntt15-3-2019_sua_doi_bo_sung_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_qui_dinh_141.pdf,https://student.uit.edu.vn/sites/daa/files/202310/108-qd-dhcntt15-3-2019_sua_doi_bo_sung_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dh_chinh_quy_qui_dinh_141_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/35-tb-dhcntt_21-5-2019_cong_nhan_chung_chi_tieng_nhat_nat-test_cho_chuan_qua_tri.pdf,35-tb-dhcntt_21-5-2019_cong_nhan_chung_chi_tieng_nhat_nat-test_cho_chuan_qua_trinh_0.pdf,https://student.uit.edu.vn/sites/daa/files/202310/35-tb-dhcntt_21-5-2019_cong_nhan_chung_chi_tieng_nhat_nat-test_cho_chuan_qua_trinh_0_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/547-qd-dhcntt_30-8-2019_qui_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_201.pdf,547-qd-dhcntt_30-8-2019_qui_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_2019_0.pdf,https://student.uit.edu.vn/sites/daa/files/202310/547-qd-dhcntt_30-8-2019_qui_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_2019_0_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/101-tb-dhcntt_29-12-2021_thong_bao_su_dung_ket_qua_thi_vpet_0_0.pdf,101-tb-dhcntt_29-12-2021_thong_bao_su_dung_ket_qua_thi_vpet_0.pdf,https://student.uit.edu.vn/sites/daa/files/202310/101-tb-dhcntt_29-12-2021_thong_bao_su_dung_ket_qua_thi_vpet_0_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/119-tb-dhcntt_19-9-2022_thong_bao_ngung_su_dung_chung_chi_vpet_toeic_bach_khoa_v.pdf,119-tb-dhcntt_19-9-2022_thong_bao_ngung_su_dung_chung_chi_vpet_toeic_bach_khoa_va_phoi_van_bang_moi_0.pdf,https://student.uit.edu.vn/sites/daa/files/202310/119-tb-dhcntt_19-9-2022_thong_bao_ngung_su_dung_chung_chi_vpet_toeic_bach_khoa_va_phoi_van_bang_moi_0_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/828_qd-dhcntt_04-10-2022_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_20.pdf,828_qd-dhcntt_04-10-2022_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_2022_0.pdf,https://student.uit.edu.vn/sites/daa/files/202310/828_qd-dhcntt_04-10-2022_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_chinh_qui_khoa_2022_0_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/153-tb-dhcntt13-12-2022_ngung_su_dung_ket_qua_bai_thi_nn_qt_ielts_indicator_va_t.pdf,153-tb-dhcntt13-12-2022_ngung_su_dung_ket_qua_bai_thi_nn_qt_ielts_indicator_va_toefl_ibt_home_edition.pdf,https://student.uit.edu.vn/sites/daa/files/202310/153-tb-dhcntt13-12-2022_ngung_su_dung_ket_qua_bai_thi_nn_qt_ielts_indicator_va_toefl_ibt_home_edition_0.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/364-qd-dhcntt_22-04-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu.pdf,364-qd-dhcntt_22-04-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu.pdf,https://student.uit.edu.vn/sites/daa/files/202404/364-qd-dhcntt_22-04-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu.pdf,skipped
data/raw/regulations_pdf/05_quy_định_đào_tạo_ngoại_ngữ_đối_với_h/560-qd-dhcntt_5-6-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dai_hoc_chi.pdf,560-qd-dhcntt_5-6-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dai_hoc_chinh_quy.pdf,https://student.uit.edu.vn/sites/daa/files/202406/560-qd-dhcntt_5-6-2024_sua_doi_quy_dinh_dao_tao_ngoai_ngu_doi_voi_he_dai_hoc_chinh_quy.pdf,skipped
data/raw/regulations_pdf/06_quyết_định_về_việc_ban_hành_quy_định/159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf,159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf,https://student.uit.edu.vn/sites/daa/files/202410/159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf,skipped
